id_fournisseur,nom_fournisseur,nom_contact_fournisseur,email_fournisseur,telephone_fournisseur,adresse_fournisseur
1,Pelletier S.A.S.,Nicolas Pires,claireparis@example.net,+33 (0)6 36 33 82 74,"4, rue Lesage, 56777 RichardVille"
2,Marchand,Benjamin Laporte,xnguyen@example.com,0555177799,"96, chemin Sabine Samson, 87187 Guillon"
3,Guichard Gérard SARL,Pénélope Labbé de Marty,guy53@example.com,+33 (0)2 47 09 83 26,"38, avenue de Thibault, 97218 Thierry"
4,Muller,Sébastien Verdier de Laporte,josette04@example.com,+33 6 43 82 37 93,"71, rue Julien Perret, 10568 Leleu"
5,Labbé,Françoise Michaud,diassuzanne@example.com,+33 3 82 09 25 02,"83, rue de Blin, 32933 Simon"
6,Hamel S.A.S.,Mathilde Ramos-Maillard,macealain@example.org,+33 (0)4 81 19 19 35,"28, rue de Robert, 82993 Saint Camillenec"
7,Gosselin,Jacques Delannoy,leon06@example.net,+33 (0)2 78 56 00 55,"2, rue Frédérique David, 53852 Da Costa-sur-Mer"
8,Fontaine Meyer S.A.S.,Anne-Bernadette Thibault,evrardadelaide@example.net,04 76 37 76 67,"6, chemin Richard Gauthier, 68813 Delorme-sur-Roger"
9,Joubert,Pénélope Guérin,olivier23@example.com,02 78 94 41 19,"chemin Élisabeth Marchal, 86574 Hoareau-sur-Delannoy"
10,Turpin Barre et Fils,Michèle-Susan Marin,bourdonalix@example.org,02 57 99 10 01,"30, avenue de Moulin, 42112 Saint CarolineVille"
11,Muller S.A.R.L.,Suzanne de la Turpin,flevy@example.com,+33 1 42 61 00 42,"268, avenue Labbé, 44764 GalletVille"
12,Caron,Susan Blanc,cmarty@example.org,+33 3 65 32 88 03,"boulevard Colette Teixeira, 97243 Lesage"
13,Thomas,Roland Monnier,andrebesson@example.net,0449010120,"69, chemin Rousseau, 97352 Guichard"
14,Lejeune S.A.S.,Isabelle Pinto,thomas29@example.net,0685821766,"27, avenue Jeannine Schmitt, 73639 GautierVille"
15,Gros,Alexandria-Élise Masse,roland20@example.net,05 81 64 68 72,"43, boulevard Guichard, 57765 JacquesVille"
16,Besson et Fils,Léon Gilles,capucine86@example.net,03 68 48 99 19,"89, rue de Blanchard, 93549 Pons-la-Forêt"
17,Ferreira S.A.S.,Arthur du Jean,victoire33@example.org,+33 2 96 67 32 63,"41, rue de Vasseur, 61872 Brun-sur-Étienne"
18,Roussel et Fils,Cécile Dubois-Renaud,clemencegaudin@example.net,0238482638,"88, avenue De Sousa, 97199 Blancdan"
19,Guérin,Renée Laporte-Rodrigues,laurentcelina@example.com,05 40 84 79 55,"429, rue Menard, 68458 Rocher-sur-Gomez"
20,Denis,Olivier-Patrick Garnier,monnierlucas@example.net,+33 4 49 07 99 13,"6, avenue Lejeune, 63772 Bernier"
21,Vincent,Victoire Humbert,laurent66@example.org,04 30 92 77 41,"71, avenue Paris, 17611 Leduc"
22,Valette,Lucas Fournier-Bourgeois,grospaul@example.org,04 42 36 59 92,"5, chemin Christine Ledoux, 25188 Faivre"
23,Brunet,Élodie Georges du Leclerc,qdumont@example.net,+33 (0)5 61 46 22 83,"82, avenue Besnard, 22460 Fouquet-sur-Philippe"
24,Bouvier,Gilbert Bazin,thibaut55@example.net,0176831571,"57, rue de Chevalier, 04747 Saint Jeannine"
25,Lemaître,André Bigot,emilecollin@example.net,05 47 47 38 98,"47, chemin Schmitt, 37376 Bernier-la-Forêt"
26,Prévost SARL,Eugène Pottier,guerinbrigitte@example.com,06 98 54 86 96,"30, rue Durand, 48528 Mendès"
27,Antoine,Caroline Chrétien,marc67@example.net,0466362096,"95, boulevard Émile Dos Santos, 81836 Mercier"
28,Leblanc Lefebvre SARL,Roger Imbert,fnicolas@example.net,+33 2 22 05 93 81,"97, rue Camille Barbier, 32936 Chartiernec"
29,Bourgeois et Fils,Michèle Perrier,catherine15@example.com,02 38 95 11 63,"20, rue Alexandre Chauvet, 20410 Fontaine-sur-Barthelemy"
30,Brunet S.A.S.,Sylvie David du Benoit,adrienweiss@example.com,+33 5 19 03 18 84,"170, rue Diallo, 57484 Rivière-sur-Moulin"
31,Marques Legendre SA,Auguste Adam,lucas66@example.com,+33 (0)2 22 93 07 36,"890, rue Louis Delahaye, 16361 Lucas"
32,Samson Da Silva SA,Augustin Blin de la Mercier,clopez@example.org,+33 2 43 03 86 38,"1, rue de Sauvage, 15912 Sainte Clémence"
33,Mendès Clément SA,Marcel Leroux,elisabeth40@example.net,0484136792,"9, avenue de Lucas, 62654 Wagnerdan"
34,Garnier,Valérie Henry du Dumont,vjacques@example.net,0369537122,"122, chemin Barthelemy, 70997 Girard"
35,Moulin SARL,Patricia Vidal de la Barbier,jrousset@example.com,0175606344,"54, chemin Girard, 64861 Colin"
36,Germain,Christine Boutin,reypauline@example.net,03 60 41 74 65,"rue Jeannine Imbert, 40352 Saint Bernard"
37,Lagarde SARL,Caroline Paris,hlagarde@example.com,05 63 60 07 58,"84, chemin de Vidal, 17184 Sainte Christinedan"
38,Raynaud,Alphonse Dufour,gaudinfrederic@example.com,03 87 07 71 64,"boulevard de Faure, 65934 Saint Benoît"
39,Leclerc S.A.S.,Augustin Le Breton,delattreandree@example.net,+33 (0)4 75 24 25 93,"9, avenue Hortense Delahaye, 23907 Georges"
40,Munoz Muller SA,Étienne Perrin du Richard,lbesnard@example.com,0474633911,"rue Perrot, 02321 Verdier"
41,Lagarde Dos Santos S.A.,Adèle Peltier,guy33@example.net,0565090783,"29, avenue de Chauvet, 97489 Navarrodan"
42,Deschamps,Renée Grondin,bretonsuzanne@example.com,06 62 38 46 59,"254, boulevard de Mahe, 66264 Sainte AlixBourg"
43,Ferrand,Gérard François,clementlaurent@example.com,03 65 01 98 97,"12, rue de Petitjean, 40212 Delannoy"
44,Lecomte,David Le Turpin,madeleineevrard@example.net,+33 2 29 99 50 13,"64, rue de Gomes, 20844 Delattredan"
45,Mallet,Hortense-Constance Guyot,reyisaac@example.com,+33 (0)3 64 97 99 16,"68, rue Matthieu Royer, 59914 Carpentierdan"
46,Bousquet S.A.S.,Constance-Jacqueline Diaz,pbruneau@example.org,06 30 28 39 86,"51, chemin Maurice Pottier, 35385 Henry"
47,Chrétien,Marthe Maillard,charlotte99@example.org,02 28 27 65 46,"7, rue Boulay, 57439 Legendre-sur-Sanchez"
48,Morin,Eugène de la Traore,lemonnieredith@example.net,+33 (0)5 55 33 70 17,"564, avenue Gilbert, 46663 Guillet-sur-Garnier"
49,Durand,Nathalie Benard-Petitjean,ulefort@example.com,+33 (0)4 76 90 76 47,"4, chemin Berger, 18323 Potier"
50,Millet Marin SARL,Édith Vaillant,josette43@example.org,04 32 29 19 02,"30, rue de Baudry, 41852 Dos Santosdan"
